Year,Population,Population_Cr,Growth_Rate,prevalence,diagnosis_rate,treatment_rate,market_share,compliance,Elderly_Pop,Adult_Pop,Patients,Patients_Segmented,Annual_Demand,Next_Year_Demand,Demand_Worst,Demand_Base,Demand_Best,Revenue,Demand_Mean,High_Prevalence,Low_Prevalence,Demand_Low,Demand_High,Annual_Demand_M,Revenue_Cr
2010,1230984500,123.1,0.015,0.06,0.7,0.6,0.1,0.8,246196900.0,615492250.0,2481664.752,2688470.1480000005,905807634.4799999,919394748.9971998,1358711451.7199998,2264519086.2,3170326720.68,10869691613.759998,3143660414.635297,1509679390.8000002,754839695.4000001,815226871.032,996388397.928,905.81,1086.97
2011,1247446011,124.74,0.013,0.061,0.7,0.6,0.11,0.8,249489202.20000002,623723005.5,2812441.87856016,2996864.2968264,1026541285.6744584,1039886322.3882263,1399829025.919716,2333048376.53286,3266267727.1460037,12318495428.0935,3185699449.648152,1682854566.6794403,841427283.3397201,923887157.1070125,1129195414.2419043,1026.54,1231.85
2012,1263589639,126.35,0.013,0.062,0.7,0.6,0.12000000000000001,0.8,252717927.8,631794819.5,3158771.9231577604,3311615.7258912004,1152951751.9525826,1167940124.727966,1441189689.940728,2401982816.56788,3362775943.1950316,13835421023.430992,3226926682.234914,1859599599.9235203,929799799.9617602,1037656576.7573243,1268246927.147841,1152.95,1383.54
2013,1279498874,127.95,0.0126,0.063,0.7,0.6,0.13,0.8,255899774.8,639749437.0,3520976.1814281605,3632753.2030608,1285156306.2212787,1301349275.6796668,1482872661.024552,2471454435.0409203,3460036209.057288,15421875674.655344,3267555327.2719793,2039930644.79568,1019965322.39784,1156640675.599151,1413671936.8434067,1285.16,1542.19
2014,1295291543,129.53,0.0123,0.064,0.7,0.6,0.14,0.8,259058308.60000002,647645771.5,3899552.907694081,3960483.4218768002,1423336811.3083396,1440843854.0874321,1525003726.4017918,2541672877.33632,3558342028.270848,17080041735.700075,3307886288.690859,2223963767.66928,1111981883.83464,1281003130.1775057,1565670492.4391737,1423.34,1708.0
2015,1311050527,131.11,0.0122,0.065,0.7,0.6,0.15000000000000002,0.8,262210105.4,655525263.5,4295001.526452,4295001.526452,1567675557.1549802,1586801198.952271,1567675557.1549802,2612792595.2583,3657909633.3616195,18812106685.859764,3348131226.117505,2411808549.4692006,1205904274.7346003,1410908001.4394822,1724443112.8704784,1567.68,1881.21
2016,1326810424,132.68,0.012,0.066,0.7,0.6,0.16,0.8,26536see2084.8,663405212.0,4707735.67401984,4636406.345625601,1718323521.0172415,1738943403.2694483,1610928300.9536638,2684880501.58944,3758832702.2252154,20619882252.206898,3388378495.1429296,2603520486.3897595,1301760243.1948798,1546491168.9155173,1890155873.1189659,1718.32,2061.99
2017,1342512706,134.25,0.0118,0.067,0.7,0.6,0.17,0.8,268502541.2,671256353.0,5137849.82637024,4984481.1748367995,1875315186.6251376,1897443905.8273141,1654689870.5515919,2757816450.9193196,3860943031.2870474,22503782239.50165,3428478628.282576,2798977890.4852796,1399488945.2426398,1687783667.9626238,2062846705.2876515,1875.32,2250.38
2018,1358199847,135.82,0.0117,0.068,0.7,0.6,0.18,0.8,271639969.40000004,679099923.5,5585787.018766079,5339355.2385264,2038812261.849619,2062666365.3132596,1699010218.208016,2831683697.01336,3964357175.8187037,24465747142.195427,3468540094.678377,2998253326.24944,1499126663.12472,1834931035.664657,2242693488.034581,2038.81,2446.57
2019,1373460214,137.35,0.0112,0.069,0.7,0.6,0.19,0.8,274692042.8,686730107.0,6050037.3042614395,5699310.5040144,2208263616.0554256,2232996168.555247,1743366012.675336,2905610021.12556,4067854029.575784,26499163392.665108,3507511675.2715607,3200382052.25424,1600191026.12712,1987437254.4498832,2429089977.6609683,2208.26,2649.92
2020,1380004385,138.0,0.0047,0.06999999999999999,0.7,0.6,0.2,0.8,276000877.0,690002192.5,6491540.627039999,6027859.15368,2369412328.8695993,2380548566.815286,1777059246.6521997,2961765411.0869994,4146471575.521799,28432947946.435192,3524224031.372958,3384874755.528,1692437377.764,2132471095.9826396,2606353561.7565594,2369.41,2843.29
2021,1393409038,139.34,0.0097,0.071,0.7,0.6,0.21000000000000002,0.8,278681807.6,696704519.0,6980644.862210879,6390731.2118832,2547935374.7069707,2572650347.8416286,1819953839.0764077,3033256398.4606795,4246558957.844951,30575224496.48365,3558456531.4637604,3588641372.8267198,1794320686.4133599,2293141837.236274,2802728912.177668,2547.94,3057.52
2022,1407563842,140.76,0.0101,0.072,0.7,0.6,0.22,0.8,281512768.40000004,703781921.0,7491392.58244608,6763062.7480416,2734358292.592819,2761975311.3480067,1864335199.4951038,3107225332.4918394,4350115465.488575,32812299511.11383,3594604750.2363906,3797719850.823361,1898859925.4116805,2460922463.3335376,3007794121.8521013,2734.36,3281.23
2023,1428627663,142.86,0.015,0.073,0.7,0.6,0.23,0.8,285725532.6,714313831.5,8059517.243154719,7176282.476781599,2941723793.7514725,2985849650.6577444,1918515517.6640036,3197525862.7733397,4476536207.882675,35300685525.01767,3648397060.5852733,4029758621.5773597,2014879310.7886798,2647551414.376325,3235896173.12662,2941.72,3530.07
2024,1438069596,143.81,0.0066,0.074,0.7,0.6,0.24000000000000002,0.8,287613919.2,719034798.0,8581478.984386561,7537785.594393601,3132239829.301095,3152912612.174482,1957649893.313184,3262749822.1886396,4567849751.0640955,37586877951.613144,3672509655.837073,4232756526.08256,2116378263.04128,2819015846.3709855,3445463812.231205,3132.24,3758.69
