State,Region,Mean_Prevalence,Lower_95_CI,Upper_95_CI,Std,Uncertainty
Kerala,South,0.2868254140704027,0.18554258886582065,0.46254082009072356,0.07139135234955775,0.2769982312249029
Puducherry,South,0.24693727466066276,0.10947692602428645,0.4205090516431155,0.07848338235589178,0.31103212561882904
Goa,West,0.23234821237941278,0.10479421890265082,0.3780449787700829,0.06541958666678648,0.2732507598674321
Delhi,North,0.1962210361979556,0.12994113786261552,0.3146857404761347,0.047424083013261155,0.18474460261351916
West Bengal,East,0.16991967970656574,0.09886135846700184,0.2841202641602044,0.04822833622496058,0.18525890569320258
Chandigarh,North,0.1690533074046638,0.06750223901582902,0.28845269797836603,0.05556595737400572,0.220950458962537
Tamil Nadu,South,0.161668613105416,0.10896126936819957,0.25922978996428014,0.03818995739979757,0.1502685205960806
Punjab,North,0.13663768399755424,0.09625005724956433,0.21313453528492737,0.03043799385873338,0.11688447803536305
Andhra Pradesh,South,0.13500947613943023,0.08830441443543843,0.21772168731658806,0.03318100465942553,0.12941727288114963
Sikkim,Northeast,0.12419280251676514,0.043665096658261536,0.26187289056720175,0.05754220470738058,0.2182077939089402
Maharashtra,West,0.12347624297939122,0.08676301844269048,0.194493216793072,0.027523690219241174,0.10773019835038151
Karnataka,South,0.12345917763162376,0.08409434714095869,0.19725528413320315,0.028685067462216742,0.11316093699224446
Telangana,South,0.12302184458058517,0.08244409511257353,0.19755347523110584,0.0292315764760305,0.1151093801185323
Assam,Northeast,0.11976831770511055,0.06451790929999712,0.20566028187369054,0.03711001551976159,0.14114237257369341
Tripura,Northeast,0.11447495245991432,0.05493131987706777,0.2072012331037823,0.038776092885091665,0.15226991322671452
Manipur,Northeast,0.10784442749496209,0.04804059342684162,0.2023397862378228,0.039960625630863826,0.1542991928109812
Haryana,North,0.10419429130378612,0.07901378218093805,0.1549890195712462,0.020554016428326848,0.07597523739030815
Nagaland,Northeast,0.10070739327117663,0.042753861566775866,0.19953148537748247,0.040328153341385106,0.1567776238107066
Arunachal Pradesh,Northeast,0.10060719171256285,0.039986180384520474,0.20964801077679907,0.043638952444368585,0.16966183039227858
Gujarat,West,0.09881596933051098,0.07411932503322091,0.14960027894813893,0.01978117391490962,0.07548095391491802
Mizoram,Northeast,0.09468088751608524,0.04680786465134421,0.16823080012610822,0.031137515457832738,0.12142293547476402
Odisha,East,0.09162566388520109,0.054813891819256146,0.1508576079149962,0.025167670751009882,0.09604371609574006
Meghalaya,Northeast,0.08672383559918866,0.04248191238198186,0.1615937464797308,0.0305683498699717,0.11911183409774893
Uttarakhand,North,0.08536890848963218,0.05567268086362819,0.13991209700893387,0.021070679881620126,0.08423941614530567
Rajasthan,North,0.08231083088562738,0.04922068118539945,0.13591508324436646,0.02263147719666417,0.08669440205896702
Jharkhand,East,0.08158254315588799,0.04729505596662505,0.13540697144710367,0.023057220625547586,0.08811191548047861
Himachal Pradesh,North,0.08129603712813484,0.05926533145777446,0.12281968142579992,0.016795267237900285,0.06355434996802546
Bihar,East,0.07949781200025505,0.044379561286315,0.13470307547145707,0.023601827499902354,0.09032351418514208
Chhattisgarh,Central,0.07385042418035814,0.04361868402403784,0.12138909825505566,0.02032909816818683,0.07777041423101783
Madhya Pradesh,Central,0.07161249828256798,0.04089437877520735,0.12055467952500303,0.02071696462194556,0.07966030074979567
Uttar Pradesh,North,0.058864694649004505,0.03453725036392549,0.09777051716106555,0.016445922846512636,0.06323326679714006
